building_id,zone_id,zone_use_type,zone_area_m2,zone_archetype_id,zone_scale_factor
gsr_way_1230866324,gsr_way_1230866324_zone_1,office,8425.6,provisional_v0_from_delivery_use_type,1.0
gsr_way_1241369277,gsr_way_1241369277_zone_1,public_service,394.65,provisional_v0_from_delivery_use_type,1.0
gsr_way_1314562851,gsr_way_1314562851_zone_1,sports_recreation,264.06,provisional_v0_from_delivery_use_type,1.0
gsr_way_1314562852,gsr_way_1314562852_zone_1,health_service,530.74,provisional_v0_from_delivery_use_type,1.0
gsr_way_1347774898,gsr_way_1347774898_zone_1,financial_service,152850.28,provisional_v0_from_delivery_use_type,1.0
gsr_way_1347774909,gsr_way_1347774909_zone_1,mixed_office_public_service,146291.42,provisional_v0_from_delivery_use_type,1.0
gsr_way_610079646,gsr_way_610079646_zone_1,office,8077.8,provisional_v0_from_delivery_use_type,1.0
gsr_way_610079650,gsr_way_610079650_zone_1,office,1676.64,provisional_v0_from_delivery_use_type,1.0
gsr_way_610079651,gsr_way_610079651_zone_1,office,1380.03,provisional_v0_from_delivery_use_type,1.0
gsr_way_610079652,gsr_way_610079652_zone_1,office,1452.93,provisional_v0_from_delivery_use_type,1.0
gsr_way_610079653,gsr_way_610079653_zone_1,office,1091.46,provisional_v0_from_delivery_use_type,1.0
gsr_way_610079654,gsr_way_610079654_zone_1,commercial,1010.1,provisional_v0_from_delivery_use_type,1.0
gsr_way_610079655,gsr_way_610079655_zone_1,commercial,887.04,provisional_v0_from_delivery_use_type,1.0
gsr_way_610079656,gsr_way_610079656_zone_1,corporate_office,24854.68,provisional_v0_from_delivery_use_type,1.0
gsr_way_610079657,gsr_way_610079657_zone_1,mixed_office_financial_service,25588.4,provisional_v0_from_delivery_use_type,1.0
gsr_way_610079669,gsr_way_610079669_zone_1,office,12202.32,provisional_v0_from_delivery_use_type,1.0
gsr_way_610079671,gsr_way_610079671_zone_1,office,29276.15,provisional_v0_from_delivery_use_type,1.0
gsr_way_610079672,gsr_way_610079672_zone_1,hotel,9258.88,provisional_v0_from_delivery_use_type,1.0
gsr_way_610079673,gsr_way_610079673_zone_1,office_R&D,11883.44,provisional_v0_from_delivery_use_type,1.0
gsr_way_610079674,gsr_way_610079674_zone_1,office,17006.22,provisional_v0_from_delivery_use_type,1.0
gsr_way_610079675,gsr_way_610079675_zone_1,office,22847.08,provisional_v0_from_delivery_use_type,1.0
gsr_way_610079679,gsr_way_610079679_zone_1,office,3092.61,provisional_v0_from_delivery_use_type,1.0
gsr_way_610079680,gsr_way_610079680_zone_1,office,2300.97,provisional_v0_from_delivery_use_type,1.0
gsr_way_610079681,gsr_way_610079681_zone_1,office,2604.6,provisional_v0_from_delivery_use_type,1.0
gsr_way_610079682,gsr_way_610079682_zone_1,office,1691.79,provisional_v0_from_delivery_use_type,1.0
gsr_way_610079683,gsr_way_610079683_zone_1,office,1798.08,provisional_v0_from_delivery_use_type,1.0
