data_version,technology_id,technology_type,manufacturer,model,application_scope,operating_mode,Tout,Tsource,Tsupply,Treturn,PLR,SOC,startup_state,COP,efficiency,capacity_ratio,source_heat_availability_ratio,min_PLR,rated_capacity_kW,storage_capacity_kWh,charge_efficiency,discharge_efficiency,max_charge_ratio,max_discharge_ratio,hourly_loss_rate,cyclic_boundary,is_source_point,is_interpolated,is_assumption,source_id,applicable_range,notes
guanggu-v0.3-20260823,ASHP_BASE_01,air_source_heat_pump,Mitsubishi Electric,PUHZ-HW140V/YHA2(-BS),central;distributed,heating,-5.0,,35.0,,0.25,,1,2.622562,,1.0,,0.299603,11.2,,,,,,,,0,0,1,SRC_ASHP_MITSU_DATABOOK;SRC_EU_CDH,Tout=-5..15; Tsupply=35..55; PLR=0.25..1.00,目标PLR低于厂家最小能力点，采用EU 813/2013默认Cdh=0.9循环退化补点；不是厂家数据。 厂家表在本项目目标温区内最大制热量为11.2 kW；表格是否已含除霜未明确，未另乘除霜系数。
guanggu-v0.3-20260823,ASHP_BASE_01,air_source_heat_pump,Mitsubishi Electric,PUHZ-HW140V/YHA2(-BS),central;distributed,heating,-5.0,,35.0,,0.5,,1,2.966717,,1.0,,0.299603,11.2,,,,,,,,0,1,0,SRC_ASHP_MITSU_DATABOOK,Tout=-5..15; Tsupply=35..55; PLR=0.25..1.00,在厂家Min与Mid能力点之间按能力比线性插值。 厂家表在本项目目标温区内最大制热量为11.2 kW；表格是否已含除霜未明确，未另乘除霜系数。
guanggu-v0.3-20260823,ASHP_BASE_01,air_source_heat_pump,Mitsubishi Electric,PUHZ-HW140V/YHA2(-BS),central;distributed,heating,-5.0,,35.0,,0.75,,1,3.022132,,1.0,,0.299603,11.2,,,,,,,,0,1,0,SRC_ASHP_MITSU_DATABOOK,Tout=-5..15; Tsupply=35..55; PLR=0.25..1.00,在厂家Mid与Max/Nominal能力点之间按能力比线性插值。 厂家表在本项目目标温区内最大制热量为11.2 kW；表格是否已含除霜未明确，未另乘除霜系数。
guanggu-v0.3-20260823,ASHP_BASE_01,air_source_heat_pump,Mitsubishi Electric,PUHZ-HW140V/YHA2(-BS),central;distributed,heating,-5.0,,35.0,,1.0,,1,2.658889,,1.0,,0.299603,11.2,,,,,,,,0,1,0,SRC_ASHP_MITSU_DATABOOK,Tout=-5..15; Tsupply=35..55; PLR=0.25..1.00,厂家相邻室外温度Max/Nominal点线性插值。 厂家表在本项目目标温区内最大制热量为11.2 kW；表格是否已含除霜未明确，未另乘除霜系数。
guanggu-v0.3-20260823,ASHP_BASE_01,air_source_heat_pump,Mitsubishi Electric,PUHZ-HW140V/YHA2(-BS),central;distributed,heating,-5.0,,45.0,,0.25,,1,1.807778,,1.0,,0.25,11.2,,,,,,,,0,0,1,SRC_ASHP_MITSU_DATABOOK;SRC_EU_CDH,Tout=-5..15; Tsupply=35..55; PLR=0.25..1.00,目标PLR低于厂家最小能力点，采用EU 813/2013默认Cdh=0.9循环退化补点；不是厂家数据。 厂家表在本项目目标温区内最大制热量为11.2 kW；表格是否已含除霜未明确，未另乘除霜系数。
guanggu-v0.3-20260823,ASHP_BASE_01,air_source_heat_pump,Mitsubishi Electric,PUHZ-HW140V/YHA2(-BS),central;distributed,heating,-5.0,,45.0,,0.5,,1,2.19683,,1.0,,0.25,11.2,,,,,,,,0,1,0,SRC_ASHP_MITSU_DATABOOK,Tout=-5..15; Tsupply=35..55; PLR=0.25..1.00,在厂家Min与Mid能力点之间按能力比线性插值。 厂家表在本项目目标温区内最大制热量为11.2 kW；表格是否已含除霜未明确，未另乘除霜系数。
guanggu-v0.3-20260823,ASHP_BASE_01,air_source_heat_pump,Mitsubishi Electric,PUHZ-HW140V/YHA2(-BS),central;distributed,heating,-5.0,,45.0,,0.75,,1,2.332151,,1.0,,0.25,11.2,,,,,,,,0,1,0,SRC_ASHP_MITSU_DATABOOK,Tout=-5..15; Tsupply=35..55; PLR=0.25..1.00,在厂家Mid与Max/Nominal能力点之间按能力比线性插值。 厂家表在本项目目标温区内最大制热量为11.2 kW；表格是否已含除霜未明确，未另乘除霜系数。
guanggu-v0.3-20260823,ASHP_BASE_01,air_source_heat_pump,Mitsubishi Electric,PUHZ-HW140V/YHA2(-BS),central;distributed,heating,-5.0,,45.0,,1.0,,1,2.205556,,1.0,,0.25,11.2,,,,,,,,0,1,0,SRC_ASHP_MITSU_DATABOOK,Tout=-5..15; Tsupply=35..55; PLR=0.25..1.00,厂家相邻室外温度Max/Nominal点线性插值。 厂家表在本项目目标温区内最大制热量为11.2 kW；表格是否已含除霜未明确，未另乘除霜系数。
guanggu-v0.3-20260823,ASHP_BASE_01,air_source_heat_pump,Mitsubishi Electric,PUHZ-HW140V/YHA2(-BS),central;distributed,heating,-5.0,,55.0,,0.25,,1,1.276242,,1.0,,0.21627,11.2,,,,,,,,0,1,0,SRC_ASHP_MITSU_DATABOOK,Tout=-5..15; Tsupply=35..55; PLR=0.25..1.00,在厂家Min与Mid能力点之间按能力比线性插值。 厂家表在本项目目标温区内最大制热量为11.2 kW；表格是否已含除霜未明确，未另乘除霜系数。
guanggu-v0.3-20260823,ASHP_BASE_01,air_source_heat_pump,Mitsubishi Electric,PUHZ-HW140V/YHA2(-BS),central;distributed,heating,-5.0,,55.0,,0.5,,1,1.610742,,1.0,,0.21627,11.2,,,,,,,,0,1,0,SRC_ASHP_MITSU_DATABOOK,Tout=-5..15; Tsupply=35..55; PLR=0.25..1.00,在厂家Min与Mid能力点之间按能力比线性插值。 厂家表在本项目目标温区内最大制热量为11.2 kW；表格是否已含除霜未明确，未另乘除霜系数。
